25 2323
20 4 2
20 41 24
20 68 47
20 70 39
20 35 56
20 61 9
20 11 18
20 76 49
20 38 3
20 29 69
10 13 62
10 20 29
10 59 45
10 48 23
10 57 48
10 28 33
10 41 53
10 38 36
10 66 57
10 34 64
10 37 40
10 64 35
10 17 58
10 27 50
10 8 63
10 4 61
10 46 55
10 8 27
10 62 25
10 28 30
22 65 77
22 94 15
22 39 11
22 7 55
22 89 24
22 73 93
22 75 77
22 28 54
22 79 76
22 29 14
22 37 66
22 59 31
22 86 85
22 32 60
22 7 72
22 21 36
22 40 21
22 51 37
22 74 91
22 33 69
4 19 87
4 75 42
4 88 31
4 2 23
4 50 94
4 7 51
4 89 93
4 67 65
4 74 2
4 20 30
4 84 65
4 52 30
4 43 89
4 53 74
4 15 29
4 8 31
4 85 89
4 87 89
4 3 54
4 84 11
9 5 8
9 79 9
9 56 58
9 87 79
9 74 23
9 37 49
9 2 65
9 73 4
9 65 1
9 68 57
9 27 97
9 32 20
9 62 23
9 24 4
9 31 89
9 31 19
9 14 68
9 46 40
9 41 30
9 27 19
